rownames,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,PredictGroup,PredictMessage
420B06|PEPIN1,-2.2536216955408293,13.643629291843942,13.456218246842226,-0.035832052729370394,0.14898959365160672,-0,-0,420B06|PEPIN,RF
420B06|PREMAU1,3.2088277509748906,10.872352053402684,10.388044264331135,0.012189125095193987,0.25974831521092656,0,0,420B06|PREMAU,RF
420B06|RAJGOLD1,10.801939106531549,13.09593187731454,10.801939106531549,0.09331690550493739,0.09331690550493739,0,0,420B06|RAJGOLD,RF
420B06|RAJRAL1,0.8266760768140529,4.466492571947443,4.389323701811591,0.004688398856423186,0.026545132752113603,0,0,420B06|RAJRAL,RF
420B06|RAJWIL1,29.28103174061821,39.35708134511412,29.28103174061821,0.1885867033270349,0.1885867033270349,0,0,420B06|RAJWIL,RF
420B06|RIVERKY1,-2.1444705940685225,2.502473618082413,2.1444705940685225,-0.029959809483595216,0.029959809483595216,-0,-0,420B06|RIVERKY,RF
420B06|RJDIST1,9.46425017653631,12.39199702364034,9.46425017653631,0.22748013437361847,0.22748013437361847,0,0,420B06|RJDIST,RF
420B06|SBGCLMB1,-0.9080466169188242,19.619238409322495,19.598213365083495,-0.04650805823471886,0.20356828300921187,-0,-0,420B06|SBGCLMB,RF
420B06|SBGCLVD1,35.62719320843742,38.93783905849977,35.62719320843742,0.19168451718549256,0.19168451718549256,0,0,420B06|SBGCLVD,RF
420B06|SBMONT1,-0.5429269719955094,3.6448915129304895,3.6042286892083446,-0.08993094794181457,0.22908102599694347,-0,-0,420B06|SBMONT,RF
420B06|SCHILL1,-2.6489147118379783,2.8466626903472587,2.6489147118379783,-0.18483250290243522,0.18483250290243522,-0,-0,420B06|SCHILL,RF
420B06|SEBCOH1,1.7351606237419057,1.8814782297739607,1.7351606237419057,0.10602009334864129,0.10602009334864129,0,0,420B06|SEBCOH,RF
420B06|SEDTX1,-17.550128654734895,17.713362911701036,17.550128654734895,-0.4589721409382432,0.4589721409382432,-0,-0,420B06|SEDTX,RF
420B06|SELIGMAN1,-0.3432011990902425,0.343297248788096,0.3432011990902425,-1e38,1e38,-0,-0,420B06|SELIGMAN,RF
420B06|SNCSTBV1,3.7671205203983273,10.36310707538025,9.654159271557004,0.04593336878115978,0.28141491882750685,0,0,420B06|SNCSTBV,RF
420B06|SPDNJ1,-14.81963344707524,26.536621475595947,22.01296762895428,-0.9466029759453691,1.099652639389604,-0,-0,420B06|SPDNJ,RF
420B06|STARCT1,-0.966295614278204,4.134490582206669,4.019985716415215,-0.05764718202138881,0.17979478610686928,-0,-0,420B06|STARCT,RF
420B06|STGNARO1,11.700580457060461,15.673048823200366,11.700580457060461,0.17481362941275086,0.17481362941275086,0,0,420B06|STGNARO,RF
420B06|STHEAGL1,-1.781609332796208,10.386224962781638,10.232279177329062,-0.06848249746225027,0.19849280276275572,-0,-0,420B06|STHEAGL,RF
420B06|STOKES1,-1.0590046259787584,1.0794670913810331,1.0590046259787584,-0.09627314781625076,0.09627314781625076,-0,-0,420B06|STOKES,RF
420B06|SWBEVLA1,-3.125811408892198,4.8513214613417475,3.710070478752985,-0.5471853212834786,0.5921283266573852,-0,-0,420B06|SWBEVLA,RF
420B06|TARVER1,5.92683318826878,6.0127028649610175,5.92683318826878,0.21064979040788087,0.21064979040788087,0,0,420B06|TARVER,RF
420B06|TAVOUR1,-0.1653588489227566,0.1653588489227566,0.1653588489227566,-1e38,1e38,-0,-0,420B06|TAVOUR,RF
420B06|TREUHOM1,2.0630036024801743,7.677409241265433,7.395040824364779,-0.0029571087981790922,0.23940821946930294,0,0,420B06|TREUHOM,RF
420B06|TURNER1,8.546484783502816,15.78016256291144,13.265410975814756,0.11023593313916404,0.22533169392726016,0,0,420B06|TURNER,RF
420B06|UNTDAB1,0.9707343078852091,33.43629692429555,33.42220260415448,-0.030386940423909534,0.18887973725358553,0,0,420B06|UNTDAB,RF
420B06|UNTDAT1,-6.967647893773574,161.54260669653917,161.39227261904807,-0.019740032941054357,0.08986929030948057,-0,-0,420B06|UNTDAT,RF
420B06|UNTDNC1,4.377208760369939,4.380668938641468,4.377208760369939,0.08341455002859455,0.08341455002859455,0,0,420B06|UNTDNC,RF
420B06|UNTDSV1,14.069253015573679,36.79290492879893,33.99667590637955,0.026634114219331685,0.11599475498527731,0,0,420B06|UNTDSV,RF
420B06|VAEAGLS1,7.972239409447276,9.527650570847479,7.972239409447276,0.06760824506130937,0.06760824506130937,0,0,420B06|VAEAGLS,RF
420B06|WALLING1,4.787704276701438,4.79733481438971,4.787704276701438,0.19575111137713364,0.19575111137713364,0,0,420B06|WALLING,RF
420B06|WANTZMD1,-1.298614392658898,12.56299398241504,12.495695997477519,-0.12427232784046272,0.3355380184974178,-0,-0,420B06|WANTZMD,RF
420B06|WDENSCH1,3.799574485846403,9.111865532264899,8.2818673742449,0.05299471526957117,0.14836264906528387,0,0,420B06|WDENSCH,RF
420B06|WILSBAC1,1.465263090451577,1.525275382182828,1.465263090451577,0.06586366478995856,0.06586366478995856,0,0,420B06|WILSBAC,RF
420B06|YAHNIS1,52.492005192476455,53.07887722636727,52.492005192476455,0.34075703703078075,0.34075703703078075,0,0,420B06|YAHNIS,RF
420B06|ABMS2,-2.2179532986831028,4.4691952214162205,3.879998594328395,-0.08139359738014235,0.1288806058271507,-0,-0,420B06|ABMS,ESB
420B06|ADAMS2,-0.12334806667105253,0.13072538123146937,0.12334806667105253,-1e38,1e38,-0,-0,420B06|ADAMS,ESB
420B06|AJAX2,-0.04567253856962495,0.04567253856962495,0.04567253856962495,-1e38,1e38,-0,-0,420B06|AJAX,ESB
420B06|ARCRAFT2,4.666503002132146,10.403074003854579,9.297725445546703,0.04341882204633646,0.10204189095031821,0,0,420B06|ARCRAFT,ESB
420B06|BAMABUD2,0.014094074323274697,0.17179253725779448,0.1712134133952148,4.971106920920766e-4,0.005118267723619726,0,0,420B06|BAMABUD,ESB
420B06|BEERCO2,1.0918707481776364,1.1036113024708083,1.0918707481776364,0.15598153545394805,0.15598153545394805,0,0,420B06|BEERCO,ESB
420B06|BEKEITH2,-0.05139582082514486,0.05139582082514486,0.05139582082514486,-1e38,1e38,-0,-0,420B06|BEKEITH,ESB
420B06|BEVSTH2,19.897359227756525,22.35011489840143,19.897359227756525,0.1560012079120383,0.1560012079120383,0,0,420B06|BEVSTH,ESB
420B06|BFDOH2,-1.7996658372432623,4.015765394366053,3.5899268205420913,-0.38945735537215187,0.5088080875920737,-0,-0,420B06|BFDOH,ESB
420B06|BIRMBUD2,7.226470944762774,11.610982688119206,9.088071119236652,0.09068785923067346,0.11847293646162688,0,0,420B06|BIRMBUD,ESB
420B06|BLITTLE2,0.9710612144433046,1.7775222936111281,1.488833644867169,0.0710762302688985,0.11814645121652254,0,0,420B06|BLITTLE,ESB
420B06|BNBRIGHT2,-0.050857272888296876,0.05085728729529352,0.050857272888296876,-1e38,1e38,-0,-0,420B06|BNBRIGHT,ESB
420B06|BOBHALL2,-4.315263806752604,8.424631280201286,7.235531112881553,-0.2493068012864087,0.3282329446952992,-0,-0,420B06|BOBHALL,ESB
420B06|BRKHRDT2,15.207664940205895,20.147370830431257,15.207664940205895,0.17351547986455,0.17351547986455,0,0,420B06|BRKHRDT,ESB
420B06|BROWNOH2,1.65992699796535,1.845370092510604,1.65992699796535,0.21511302359380985,0.21511302359380985,0,0,420B06|BROWNOH,ESB
