rownames,PredictGroup,PredictDate,PredictValue,PredictValue_StdPlus,PredictValue_StdMinus,PredictValue_StdPlus2,PredictValue_StdMinus2,PredictMessage
420B06|ABMS66,420B06|ABMS,2016-03-28,35.56730631795858,35.5662244067525,35.521478579375355,35.58636072697748,35.50134225915037,XGB
420B06|ABMS67,420B06|ABMS,2016-04-04,34.20285737158315,34.1740990302314,32.98470772848718,34.709343667074805,32.44946309164378,XGB
420B06|ABMS68,420B06|ABMS,2016-04-11,28.206389330393222,28.204987199160065,28.146997669366804,28.231083392035693,28.120901476491177,XGB
420B06|ABMS69,420B06|ABMS,2016-04-18,37.4721496041343,37.73993069343283,37.47847143825151,37.85759143627133,37.360810695413015,XGB
420B06|ABMS70,420B06|ABMS,2016-04-25,29.10449685748722,29.10689384805705,29.10455344616121,29.10794706541367,29.10350022880459,XGB
420B06|ABMS71,420B06|ABMS,2016-05-02,30.390482959383462,30.376345000079105,29.7916254011515,30.63947793952827,29.528492461702335,XGB
420B06|ABMS72,420B06|ABMS,2016-05-09,27.772576865183282,27.75491674340127,27.024527080855716,28.083603483509474,26.695840340747512,XGB
420B06|ABMS73,420B06|ABMS,2016-05-16,34.93149108681882,34.929579020251424,34.85049951716718,34.965166030050476,34.81491250736813,XGB
420B06|ABMS74,420B06|ABMS,2016-05-23,28.154420220437032,43.090917335355634,28.507044288477182,49.653887672619184,21.944073951213632,XGB
420B06|ABMS75,420B06|ABMS,2016-05-30,35.99699880558251,35.94779533816158,33.912831796616686,36.8635606713925,32.99706646338577,XGB
420B06|ABMS76,420B06|ABMS,2016-06-06,33.11259272894722,33.17804684665003,33.11413798397434,33.20680683164719,33.08537799897717,XGB
420B06|ABMS77,420B06|ABMS,2016-06-13,35.71249280418965,36.03773376036908,35.72017116332425,36.18064188209575,35.57726304159758,XGB
420B06|ABMS78,420B06|ABMS,2016-06-20,38.23081003872335,38.10986780527155,33.10792284879126,40.36082105153774,30.856969602525066,XGB
420B06|ABMS79,420B06|ABMS,2016-06-27,28.52414440376333,28.52140721770541,28.40820231312734,28.57235119043408,28.35725834039867,XGB
420B06|ABMS80,420B06|ABMS,2016-07-04,37.85264771568177,37.5191942880724,23.72818313466531,43.72536440692532,17.52201301581239,XGB
420B06|ABMS81,420B06|ABMS,2016-07-11,28.203447612524997,28.19908319880279,28.018579196332205,28.28031281525405,27.937349579880944,XGB
420B06|ABMS82,420B06|ABMS,2016-07-18,31.80844903494176,31.814697597262096,31.808596552358182,31.817443162627484,31.805850986992795,XGB
420B06|ABMS83,420B06|ABMS,2016-07-25,16.628729368698032,16.920501093468328,16.635617578948132,17.048703118359896,16.507415554056564,XGB
420B06|ABMS84,420B06|ABMS,2016-08-01,31.64413258081663,31.535485830089073,27.042059081390363,33.55759795144276,25.019946960036677,XGB
420B06|ABMS85,420B06|ABMS,2016-08-08,28.03774442996928,28.0137991375345,27.02346655224031,28.459464247236106,26.577801442538707,XGB
420B06|ABMS86,420B06|ABMS,2016-08-15,30.630279151402874,30.620476829460863,30.215071096490142,30.80291573245261,30.032632193498394,XGB
420B06|ABMS87,420B06|ABMS,2016-08-22,28.153439696440728,32.645029734924634,28.259478129625766,34.618596359208674,26.28591150534172,XGB
420B06|ABMS88,420B06|ABMS,2016-08-29,25.252249411529874,39.23138943024968,25.58227198530859,45.37370516716213,19.439956248396143,XGB
420B06|ABMS89,420B06|ABMS,2016-09-05,33.84637401236978,33.84277003572757,33.69371629102406,33.90984654565073,33.6266397811009,XGB
420B06|ABMS90,420B06|ABMS,2016-09-12,28.156871534518814,28.152575149906912,27.974884704416976,28.232538621833545,27.894921232490343,XGB
420B06|ABMS91,420B06|ABMS,2016-09-19,39.718561259368244,39.71072993950851,39.38684117247509,39.85648493639997,39.241086175583625,XGB
420B06|ABMS92,420B06|ABMS,2016-09-26,48.488942971582674,48.48380073500394,48.271127431510735,48.57950703866327,48.1754211278514,XGB
420B06|ABMS93,420B06|ABMS,2016-10-03,22.2817361723678,29.712548281036486,22.45716439857377,32.97758419111353,19.192128488496728,XGB
420B06|ABMS94,420B06|ABMS,2016-10-10,28.57466081289681,28.568768047941916,28.32505429217113,28.678443039267293,28.215379300845754,XGB
420B06|ABMS95,420B06|ABMS,2016-10-17,32.161276650417676,32.11657170230676,30.26765851994658,32.948611472057955,29.43561875019538,XGB
420B06|ABMS96,420B06|ABMS,2016-10-24,47.348158795995914,47.34439258638497,47.18862918901061,47.41448854466117,47.118533230734414,XGB
420B06|ABMS97,420B06|ABMS,2016-10-31,34.082043572641624,43.15812372813507,34.296313644243085,47.14607648445001,30.30836088792814,XGB
420B06|ABMS98,420B06|ABMS,2016-11-07,33.259898545083615,35.09448083344709,33.303209762211694,35.900580754142204,32.49710984151658,XGB
420B06|ABMS99,420B06|ABMS,2016-11-14,32.25627038151015,32.205624582983546,30.11100891997762,33.14823430127219,29.168399201688974,XGB
420B06|ABMS100,420B06|ABMS,2016-11-21,34.06232021101869,34.06164925796259,34.03389989234244,34.074136905301366,34.02141224500367,XGB
420B06|ABMS101,420B06|ABMS,2016-11-28,35.29476625947382,37.9324196262455,35.357036553044985,39.091382177700474,34.19807400159001,XGB
420B06|ABMS102,420B06|ABMS,2016-12-05,28.263754511068555,29.84044093730017,28.30097726666941,30.53322360025726,27.60819460371232,XGB
420B06|ABMS103,420B06|ABMS,2016-12-12,25.094353858048862,29.57018165598608,25.200020172835575,31.536822485262046,23.23337934355961,XGB
420B06|ABMS104,420B06|ABMS,2016-12-19,33.546687825390336,33.40413563042256,27.508443015001887,36.05728926308611,24.855289382338334,XGB
420B06|ABMS105,420B06|ABMS,2016-12-26,34.95419205017788,34.95190436692598,34.85729005910924,34.994482281152614,34.814712144882606,XGB
420B06|ABMS106,420B06|ABMS,2017-01-02,11.75400911932013,29.61367874264343,12.175644078840804,37.46106632417522,4.32825649730901,XGB
420B06|ABMS107,420B06|ABMS,2017-01-09,28.72181012306328,28.707231486039465,28.10428627945299,28.978566233201793,27.83295153229066,XGB
420B06|ABMS108,420B06|ABMS,2017-01-16,29.16534734915581,31.81766765445245,29.227963902997274,32.98307473448311,28.062556822966613,XGB
420B06|ABMS109,420B06|ABMS,2017-01-23,31.790245025008744,31.96521632525884,31.79437578546816,32.04209723278212,31.717494877944876,XGB
420B06|ABMS110,420B06|ABMS,2017-01-30,30.803773065700398,31.941983876469056,30.830644193736145,32.44210406737823,30.33052400282697,XGB
420B06|ABMS111,420B06|ABMS,2017-02-06,27.651044172888305,34.182316961498195,27.80523587944976,37.05210291240968,24.935449928538276,XGB
420B06|ABMS112,420B06|ABMS,2017-02-13,27.249794343272924,27.248111101800507,27.178495377390643,27.27943926358856,27.14716721560259,XGB
420B06|ABMS113,420B06|ABMS,2017-02-20,29.022059995169684,28.96723686197318,26.699854436792673,29.987594317901358,25.679496980864496,XGB
420B06|ABMS114,420B06|ABMS,2017-02-27,25.55393174181495,25.566353151085746,25.5542249891429,25.57181101312422,25.548767127104426,XGB
420B06|ABMS115,420B06|ABMS,2017-03-06,28.123534163747536,28.112862820915147,27.67151600652364,28.311475771122993,27.472903056315793,XGB
420B06|ABMS116,420B06|ABMS,2017-03-13,30.548702872993317,30.31398322327961,20.60641677139834,34.68253953653881,16.23786045813914,XGB
420B06|ABMS117,420B06|ABMS,2017-03-20,33.32542928594307,33.18386780304309,27.329149188923783,35.81858249604532,24.694434495921556,XGB
420B06|ABMS118,420B06|ABMS,2017-03-27,39.2164609975373,39.404796513084605,39.22090726329411,39.48754954362988,39.13815423274883,XGB
420B06|ABMS119,420B06|ABMS,2017-04-03,34.92458219680361,34.8534047672778,31.909639182084074,36.17814519482965,30.584898754532222,XGB
420B06|ABMS120,420B06|ABMS,2017-04-10,42.787475791325505,42.780114332613856,42.47565814535697,42.917124365513935,42.33864811245689,XGB
420B06|ABMS121,420B06|ABMS,2017-04-17,30.145830430800288,30.14502607309651,30.111759340336626,30.159996621703108,30.096788791730027,XGB
420B06|ABMS122,420B06|ABMS,2017-04-24,40.72944475817644,40.839988108933,40.732054489610704,40.888559921079796,40.68348267746391,XGB
420B06|ABMS123,420B06|ABMS,2017-05-01,25.98582928243718,25.979962629674155,25.737328825403274,26.08915162598046,25.62813982909697,XGB
420B06|ABMS124,420B06|ABMS,2017-05-08,52.761771703969316,52.75949096567824,52.66516388847363,52.80193962164944,52.62271523250243,XGB
420B06|ABMS125,420B06|ABMS,2017-05-15,37.87739234601804,37.73759012624538,31.955631350237528,40.339561757254764,29.35365971922814,XGB
420B06|ABMS126,420B06|ABMS,2017-05-22,38.70370671698629,39.74552775080418,38.72830225423228,40.20329509003225,38.27053491500421,XGB
420B06|ABMS127,420B06|ABMS,2017-05-29,29.384733421939472,29.382197697436865,29.277324866624625,29.429392107014703,29.230130457046787,XGB
420B06|ABMS128,420B06|ABMS,2017-06-05,35.86609658210341,36.129119070011214,35.87230607412543,36.244688923698526,35.75673622043812,XGB
420B06|ABMS129,420B06|ABMS,2017-06-12,30.25783281182862,30.35478431300235,30.260121663925833,30.39738398154986,30.217521995378323,XGB
420B06|ABMS130,420B06|ABMS,2017-06-19,38.81020006834274,38.62167664605003,30.824699904329428,42.13043779007266,27.315938760306793,XGB
420B06|ABMS131,420B06|ABMS,2017-06-26,30.752164175795315,34.89150892123391,30.84988672559578,36.710301946868235,29.031093699961456,XGB
420B06|ABMS132,420B06|ABMS,2017-07-03,33.27862118982944,33.239777912815654,31.633292502326935,33.9627214040538,30.910349011088794,XGB
1,420B06|ABMS,2017-07-10,31.98952261750037,31.98004771331676,31.588183367490675,32.15639278088702,31.411838299920422,XGB
111,420B06|ABMS,2017-07-17,33.49099914412864,36.73436926334722,33.56756933035098,38.159478626099876,32.14245996759832,XGB
221,420B06|ABMS,2017-07-24,32.7687966673152,32.753229910842016,32.109417928811375,33.042955344357516,31.819692495295875,XGB
331,420B06|ABMS,2017-07-31,28.602127086232258,28.605481236461554,28.60220627173938,28.606955021666494,28.60073248653444,XGB
441,420B06|ABMS,2017-08-07,30.829332710756034,30.81824801237225,30.359805584178147,31.024554255433316,30.153499341117083,XGB
551,420B06|ABMS,2017-08-14,32.474838374880164,32.74517837682861,32.481220620363,32.86396348421442,32.362435512977186,XGB
661,420B06|ABMS,2017-08-21,29.617913051478354,30.144692051347814,29.630349364521695,30.37615428267537,29.39888713319414,XGB
771,420B06|ABMS,2017-08-28,32.0347959780579,31.930921573463834,27.63487015008944,33.864211719938325,25.701580003614954,XGB
881,420B06|ABMS,2017-09-04,28.419686301640922,30.70413054792392,28.473617957579894,31.70789600311307,27.469852502390744,XGB
991,420B06|ABMS,2017-09-11,32.00428545162981,34.29187381902384,32.05829133466286,35.29702077440207,31.053144379284632,XGB
1101,420B06|ABMS,2017-09-18,36.690315311311906,36.686188452138616,36.515509262257844,36.762996749685854,36.438700964710605,XGB
1211,420B06|ABMS,2017-09-25,36.856424325591206,36.74334695344138,32.06667797541839,38.847920936038896,29.96210399282088,XGB
1321,420B06|ABMS,2017-10-02,33.02786445020638,34.22297247345598,33.05607881999224,34.74809281767503,32.53095847577319,XGB
1431,420B06|ABMS,2017-10-09,32.25676259977399,36.055527889622745,32.34644467581432,37.724673186789005,30.67729937864806,XGB
1541,420B06|ABMS,2017-10-16,36.60479932233534,41.29435958866972,36.71551147965786,43.35491265449007,34.65495841383751,XGB
1651,420B06|ABMS,2017-10-23,33.283548257990105,33.83580118997757,33.29658596515573,34.07845645134273,33.05393070379057,XGB
420B06|ADAMS53,420B06|ADAMS,2015-12-28,0.025845466841474263,0.02572448998648435,0.020721113147831767,0.02797608760206129,0.018469515532254826,XGB
420B06|ADAMS54,420B06|ADAMS,2016-01-04,0.025845466841474263,0.02566950071671016,0.018391870354228387,0.02894454788977642,0.01511682318116213,XGB
420B06|ADAMS55,420B06|ADAMS,2016-01-11,0.025845466841474263,0.02566950071671016,0.018391870354228387,0.02894454788977642,0.01511682318116213,XGB
420B06|ADAMS56,420B06|ADAMS,2016-01-18,0.025845466841474263,0.02566950071671016,0.018391870354228387,0.02894454788977642,0.01511682318116213,XGB
420B06|ADAMS57,420B06|ADAMS,2016-01-25,0.025845466841474263,0.02566950071671016,0.018391870354228387,0.02894454788977642,0.01511682318116213,XGB
420B06|ADAMS58,420B06|ADAMS,2016-02-01,0.027752866589707992,0.027532908723982966,0.018435862095189312,0.03162672159451224,0.014342049224660033,XGB
420B06|ADAMS59,420B06|ADAMS,2016-02-08,0.03061397303326885,0.030328027398779923,0.018501849863953212,0.03564999174355958,0.01317988551917355,XGB
420B06|ADAMS60,420B06|ADAMS,2016-02-15,0.03061397303326885,0.030328027398779923,0.018501849863953212,0.03564999174355958,0.01317988551917355,XGB
420B06|ADAMS61,420B06|ADAMS,2016-02-22,0.03538250196322679,0.03500857198676269,0.01954352634911291,0.04196808373361289,0.012584014602262711,XGB
420B06|ADAMS62,420B06|ADAMS,2016-02-29,0.03538250196322679,0.035030567699918025,0.02047522368875049,0.04158069952614135,0.01392509186252716,XGB
420B06|ADAMS63,420B06|ADAMS,2016-03-07,0.03538250196322679,0.035030567699918025,0.02047522368875049,0.04158069952614135,0.01392509186252716,XGB
420B06|ADAMS64,420B06|ADAMS,2016-03-14,0.03538250196322679,0.0350415655643605,0.020941072691708137,0.04138700728389201,0.014595630972176633,XGB
420B06|ADAMS65,420B06|ADAMS,2016-03-21,0.03538250196322679,0.0350415655643605,0.020941072691708137,0.04138700728389201,0.014595630972176633,XGB
420B06|ADAMS66,420B06|ADAMS,2016-03-28,0.03538250196322679,0.0350415655643605,0.020941072691708137,0.04138700728389201,0.014595630972176633,XGB
420B06|ADAMS67,420B06|ADAMS,2016-04-04,0.0358593561068119,0.03556241107656612,0.023281319070920778,0.041089094028561965,0.017754636118924933,XGB
420B06|ADAMS68,420B06|ADAMS,2016-04-11,0.03538250196322679,0.035096554965239404,0.023270321038662375,0.04041854468718625,0.017948331316715527,XGB
420B06|ADAMS69,420B06|ADAMS,2016-04-18,0.03538250196322679,0.035096554965239404,0.023270321038662375,0.04041854468718625,0.017948331316715527,XGB
420B06|ADAMS70,420B06|ADAMS,2016-04-25,0.03538250196322679,0.035096554965239404,0.023270321038662375,0.04041854468718625,0.017948331316715527,XGB
420B06|ADAMS71,420B06|ADAMS,2016-05-02,0.03538250196322679,0.035096554965239404,0.023270321038662375,0.04041854468718625,0.017948331316715527,XGB
420B06|ADAMS72,420B06|ADAMS,2016-05-09,0.0358593561068119,0.035419438906979094,0.01722528491982287,0.043607091977290874,0.00903763184951109,XGB
420B06|ADAMS73,420B06|ADAMS,2016-05-16,0.0358593561068119,0.035419438906979094,0.01722528491982287,0.043607091977290874,0.00903763184951109,XGB
