rownames,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,PredictGroup,PredictMessage
420B06|ABMS,-0.015392682812375824,4.263256295102029,4.263228507017061,-0.013085961941918432,0.134452699776338,-0,-0,420B06|ABMS,XGB
420B06|ADAMS,-0.13528871287928723,0.13750000307721977,0.13528871287928723,-1e38,1e38,-0,-0,420B06|ADAMS,XGB
420B06|AJAX,0,0,0,0,0,0,0,420B06|AJAX,XGB
420B06|ARCRAFT,-0.19376819047397476,0.5410020546958606,0.5051109893336161,-0.0028017088707553437,0.006044863025543274,-0,-0,420B06|ARCRAFT,XGB
420B06|BAMABUD,-3.5258333319187614,3.5290078547603376,3.5258333319187614,-0.10533889721484185,0.10533889721484185,-0,-0,420B06|BAMABUD,XGB
420B06|BEERCO,1.2777603344775343,1.2781405054923558,1.2777603344775343,0.18253719063964774,0.18253719063964774,0,0,420B06|BEERCO,XGB
420B06|BEKEITH,-0.029660269975920528,0.029660269975920528,0.029660269975920528,-1e38,1e38,-0,-0,420B06|BEKEITH,XGB
420B06|BEVSTH,25.31809344635019,27.97492517017813,25.31809344635019,0.1993159761930789,0.1993159761930789,0,0,420B06|BEVSTH,XGB
420B06|BFDOH,-0.02261533549443584,5.719377520557821,5.719332808052229,-0.2886050962102956,0.6683862610474819,-0,-0,420B06|BFDOH,XGB
420B06|BIRMBUD,7.647270815209595,14.047029551872859,11.782966023460858,0.09368940317138555,0.1554161973243895,0,0,420B06|BIRMBUD,XGB
420B06|BLITTLE,0.3340819104785169,0.5035308362888107,0.37673940620106805,0.025400304332455485,0.029278258489051044,0,0,420B06|BLITTLE,XGB
420B06|BNBRIGHT,-0.05684150745634042,0.0626006432221156,0.05684150745634042,-1e38,1e38,-0,-0,420B06|BNBRIGHT,XGB
420B06|BOBHALL,0.2869576025553897,6.896351385089389,6.890378636980699,-0.06809449559663154,0.26207655612463393,0,0,420B06|BOBHALL,XGB
420B06|BRKHRDT,17.057723833980845,20.57543375831466,17.057723833980845,0.19902431362400463,0.19902431362400463,0,0,420B06|BRKHRDT,XGB
420B06|BROWNOH,0.6196753458784201,1.2161716017803312,1.0464587094995181,0.09233561515781982,0.14568353561045708,0,0,420B06|BROWNOH,XGB
420B06|BUDCHT,15.964773422013423,26.156636745438234,20.719451136953012,0.1131080463468186,0.16065482349621452,0,0,420B06|BUDCHT,XGB
420B06|BUQUET,1.8562909853799852,3.9951993670497736,3.5377679064732206,0.1751053057100031,0.595474535983312,0,0,420B06|BUQUET,XGB
420B06|CARBRS,3.5254751092513743,15.669635127118623,15.267890825882887,0.013085328494339465,0.24793364282696972,0,0,420B06|CARBRS,XGB
420B06|CARPRM,1.8545340964885781,14.057739717103711,13.934875286086935,0.0077133082951357165,0.07163045744644977,0,0,420B06|CARPRM,XGB
420B06|CARROLL,15.685064152478844,27.56225413464878,22.663993812114995,0.15060758825762607,0.29018618145034913,0,0,420B06|CARROLL,XGB
420B06|CHAMPGN,6.373520524740286,6.680592401221933,6.373520524740286,0.3783699398633884,0.3783699398633884,0,0,420B06|CHAMPGN,XGB
420B06|CHEROKE,-0.013876433294853996,0.019624240162948094,0.013876433294853996,0,0,-0,-0,420B06|CHEROKE,XGB
420B06|CITYBEV,15.957476749596026,39.69497170196231,36.346247594568695,0.03531917683900364,0.2618610751164777,0,0,420B06|CITYBEV,XGB
420B06|CITYBNC,2.916099700214886,21.620428868912704,21.422868785812057,-0.4070736090081792,0.8267109966982988,0,0,420B06|CITYBNC,XGB
420B06|COMER,14.131953441739256,17.99475464500998,14.131953441739256,0.20666593836582098,0.20666593836582098,0,0,420B06|COMER,XGB
420B06|CONEOCT,12.659974737382868,13.606079903008085,12.659974737382868,0.11359294363217387,0.11359294363217387,0,0,420B06|CONEOCT,XGB
420B06|CSTLBV,2.8177890614081207,2.9779658492781103,2.8177890614081207,0.08392629066663453,0.08392629066663453,0,0,420B06|CSTLBV,XGB
420B06|DAYTONA,14.995354593248521,21.782371041769803,15.7990831640343,0.17070039788144198,0.18325865679996978,0,0,420B06|DAYTONA,XGB
420B06|DELPAPA,2.751477697542441,3.125082843858069,2.751477697542441,0.2559059327379476,0.2559059327379476,0,0,420B06|DELPAPA,XGB
420B06|DET,7.8194842764600025,41.09886202655433,40.34813658061478,0.0043111861891956815,0.18913307428098416,0,0,420B06|DET,XGB
420B06|EAGLKX,10.901139305843458,10.988208074702188,10.901139305843458,0.11550271377074786,0.11550271377074786,0,0,420B06|EAGLKX,XGB
420B06|EGLSHRV,1.6674252109567647,3.175390613414386,2.702369092782476,0.11632181759099292,0.21981620577356403,0,0,420B06|EGLSHRV,XGB
420B06|EMPIRE,12.695569660027104,16.283003989762598,12.695569660027104,0.14459811641480094,0.14459811641480094,0,0,420B06|EMPIRE,XGB
420B06|ESDMD,5.310350869999581,7.30657389343794,5.310350869999581,0.23312343302214425,0.23312343302214425,0,0,420B06|ESDMD,XGB
420B06|FEB,11.34443015665579,11.360525584883243,11.34443015665579,0.3978004911595546,0.3978004911595546,0,0,420B06|FEB,XGB
420B06|FICK,7.969682833287607,11.815186350802916,8.72254458521138,0.14640234721892498,0.16854533992256537,0,0,420B06|FICK,XGB
420B06|FUHRER,5.556027763794987,12.691774099555344,11.411033488781072,0.053188200205305236,0.22047407806205055,0,0,420B06|FUHRER,XGB
420B06|GCBEVN,-1.5407654606314054,26.589604680798974,26.54492642439402,-0.05652187900981634,0.22433503984043793,-0,-0,420B06|GCBEVN,XGB
